SynsetTerms,PosScore,NegScore
general_lien,0.00,0.25
judgment_lien,0.00,0.00
landlord's_lien,0.00,0.00
mechanic's_lien,0.00,0.00
garageman's_lien,0.00,0.00
state_tax_lien,0.00,0.00
tax_lien,0.38,0.13
warehouseman's_lien,0.00,0.00
incumbrance,0.00,0.00
assessment,0.00,0.00
document,0.00,0.00
quittance,0.00,0.00
record,0.00,0.00
balance_sheet,0.00,0.00
expense_record,0.00,0.00
leger,0.00,0.00
cost_ledger,0.25,0.25
general_ledger,0.00,0.00
subsidiary_ledger,0.00,0.00
control_account,0.00,0.00
journal,0.00,0.00
ledger_entry,0.00,0.00
adjusting_entry,0.00,0.00
credit_entry,0.00,0.00
debit_entry,0.00,0.25
method_of_accounting,0.00,0.00
credit_side,0.00,0.00
debit_side,0.00,0.00
accrual_basis,0.00,0.00
cash_basis,0.00,0.00
pooling_of_interest,0.00,0.00
accounts_receivable,0.00,0.00
note_receivable,0.00,0.00
accounts_payable,0.00,0.00
note_payable,0.00,0.00
profit_and_loss_account,0.00,0.00
dividend,0.00,0.00
stock_dividend,0.00,0.00
extra_dividend,0.00,0.00
equalizing_dividend,0.00,0.00
divvy,0.00,0.00
suspense_account,0.00,0.00
balance,0.00,0.00
balance,0.00,0.00
visible_balance,0.00,0.00
carry-over,0.00,0.00
offsetting_balance,0.00,0.00
invisible_balance,0.00,0.00
balance_of_payments,0.00,0.00
current_account,0.00,0.00
trial_balance,0.00,0.00
audited_account,0.00,0.00
limited_audit,0.00,0.00
review,0.13,0.00
analytical_review,0.13,0.00
travel_and_entertainment_account,0.00,0.00
payslip,0.00,0.00
register,0.00,0.00
inventory,0.00,0.00
paysheet,0.00,0.00
paysheet,0.13,0.00
peanuts,0.00,0.00
purse,0.00,0.00
purse,0.00,0.00
value,0.00,0.00
mess_of_pottage,0.38,0.00
premium,0.00,0.38
passbook,0.00,0.00
chequebook,0.00,0.00
pawn_ticket,0.00,0.00
escrow,0.00,0.00
escrow_funds,0.25,0.00
commercial_paper,0.00,0.00
municipal_note,0.00,0.00
iou,0.00,0.00
time_note,0.00,0.00
floater,0.00,0.00
meal_plan,0.00,0.00
american_plan,0.00,0.00
modified_american_plan,0.00,0.00
bermuda_plan,0.13,0.00
european_plan,0.00,0.00
devise,0.00,0.00
security,0.00,0.00
scrip,0.00,0.00
stock_certificate,0.00,0.00
tax-exempt_security,0.00,0.00
bond_certificate,0.00,0.00
premium_bond,0.00,0.38
warrant,0.00,0.00
perpetual_warrant,0.00,0.00
subscription_warrant,0.00,0.00
zero_coupon_security,0.00,0.25
partnership_certificate,0.25,0.00
proprietorship_certificate,0.38,0.00
convertible_security,0.00,0.00
letter_security,0.00,0.50
investment_letter,0.00,0.38
treasury_stock,0.00,0.00
voting_stock,0.00,0.00
watered_stock,0.00,0.00
letter_stock,0.00,0.63
letter_bond,0.00,0.63
listed_security,0.00,0.00
unlisted_security,0.00,0.00
unlisted_stock,0.00,0.13
budget,0.00,0.00
balanced_budget,0.00,0.00
budget,0.00,0.00
civil_list,0.00,0.00
operating_budget,0.00,0.00
petty_cash,0.00,0.00
spending_money,0.00,0.00
ready_money,0.00,0.00
sight_draft,0.00,0.00
time_draft,0.00,0.00
matching_funds,0.00,0.00
bottom_line,0.00,0.00
ablactation,0.00,0.00
ablation,0.00,0.00
detrition,0.00,0.13
abscission,0.00,0.00
soaking_up,0.00,0.00
absorption,0.00,0.38
accession,0.00,0.00
acclimatization,0.00,0.00
accumulation,0.00,0.00
accretion,0.00,0.00
accretion,0.00,0.00
accretion,0.00,0.00
acetylation,0.00,0.00
acheson_process,0.00,0.00
acid-base_equilibrium,0.00,0.00
acidification,0.00,0.00
activation,0.00,0.00
active_birth,0.00,0.00
active_transport,0.00,0.00
acylation,0.00,0.00
adjustment,0.00,0.00
addition_reaction,0.00,0.00
adiabatic_process,0.00,0.38
business_data_processing,0.00,0.00
surface_assimilation,0.00,0.00
advection,0.00,0.00
aeration,0.00,0.00
agenesis,0.00,0.13
agglutination,0.00,0.00
agglutination,0.00,0.00
agglutination,0.00,0.00
senescence,0.25,0.00
aldol_reaction,0.00,0.13
alluvion,0.00,0.00
alpha_decay,0.00,0.00
alternative_birthing,0.00,0.00
amelogenesis,0.00,0.00
americanization,0.00,0.00
amitosis,0.25,0.25
ammonification,0.00,0.00
amylolysis,0.00,0.00
constructive_metabolism,0.00,0.00
anaglyphy,0.00,0.00
anamorphism,0.00,0.00
anamorphosis,0.00,0.00
anaphase,0.00,0.00
anastalsis,0.00,0.00
androgeny,0.00,0.00
angiogenesis,0.00,0.00
anglicization,0.00,0.00
anisogamy,0.00,0.00
anovulation,0.00,0.63
anthropogeny,0.00,0.00
antiredeposition,0.00,0.00
asepsis,0.00,0.00
apheresis,0.00,0.00
aphesis,0.00,0.00
apogamy,0.00,0.00
apomixis,0.00,0.00
apposition,0.00,0.00
asexual_reproduction,0.00,0.38
assibilation,0.13,0.00
assimilation,0.00,0.00
assimilation,0.00,0.00
assimilation,0.00,0.00
association,0.00,0.00
asynchronous_operation,0.00,0.38
attack,0.00,0.13
autocatalysis,0.00,0.00
self-digestion,0.00,0.00
automatic_data_processing,0.00,0.00
autoradiography,0.00,0.00
autotypy,0.00,0.00
autoregulation,0.00,0.00
auxesis,0.00,0.00
off-line_operation,0.00,0.25
backgrounding,0.00,0.50
backup,0.00,0.50
bacteriolysis,0.00,0.25
bacteriostasis,0.13,0.00
bmr,0.00,0.00
basal_metabolism,0.00,0.00
batch_processing,0.00,0.00
beach_erosion,0.00,0.00
bed-wetting,0.00,0.00
bessemer_process,0.00,0.00
beta_decay,0.00,0.00
biochemical_mechanism,0.00,0.00
biosynthesis,0.00,0.00
blastogenesis,0.00,0.00
blazing,0.38,0.00
blood_coagulation,0.00,0.00
blooming,0.00,0.00
inflorescence,0.00,0.00
blowing,0.00,0.00
bluing,0.00,0.00
body_process,0.00,0.00
boiling,0.00,0.00
boolean_operation,0.00,0.00
bottom_fermentation,0.00,0.00
movement,0.00,0.13
bradley_method_of_childbirth,0.00,0.00
incubation,0.00,0.00
budding,0.00,0.00
buildup,0.00,0.00
calcification,0.00,0.00
calcination,0.00,0.00
calving,0.25,0.00
capture,0.00,0.00
capture,0.00,0.00
carbonation,0.00,0.00
carbon_cycle,0.00,0.00
carbon_cycle,0.00,0.00
carbonization,0.00,0.38
carriage_return,0.00,0.00
catabiosis,0.00,0.50
katabolism,0.00,0.00
contact_action,0.00,0.00
tooth_decay,0.00,0.00
cellular_division,0.00,0.00
kenogenesis,0.00,0.38
centrifugation,0.00,0.00
chain_reaction,0.00,0.00
chain_reaction,0.00,0.00
chelation,0.00,0.00
chelation,0.00,0.00
equilibrium,0.00,0.00
chemical_process,0.00,0.00
reaction,0.00,0.00
chemosorption,0.00,0.25
chemosynthesis,0.00,0.00
vaginal_birth,0.00,0.00
chlorination,0.00,0.00
chromatography,0.13,0.00
civilization,0.00,0.00
segmentation,0.00,0.00
cleavage,0.00,0.13
global_climate_change,0.00,0.00
clouding_up,0.00,0.00
cohesion,0.00,0.00
cold_fusion,0.00,0.00
column_chromatography,0.00,0.00
combustion,0.00,0.00
deflagration,0.00,0.00
compensation,0.38,0.38
machine_operation,0.00,0.00
concretion,0.00,0.00
concurrent_operation,0.00,0.00
condensation,0.00,0.00
congelation,0.00,0.00
conspicuous_consumption,0.00,0.00
use_of_goods_and_services,0.00,0.00
control_operation,0.00,0.00
recuperation,0.00,0.50
convection,0.00,0.00
convection,0.00,0.00
conversion,0.00,0.13
temperature_reduction,0.00,0.00
erosion,0.00,0.00
corruption,0.00,0.00
cost-pull_inflation,0.00,0.00
cracking,0.00,0.00
crossover,0.00,0.00
cultivation,0.00,0.00
curdling,0.00,0.00
cyanide_process,0.00,0.00
cytogeny,0.00,0.00
cytolysis,0.00,0.38
data_mining,0.00,0.00
data_processing,0.00,0.00
dealignment,0.00,0.00
deaminization,0.13,0.00
decalcification,0.00,0.00
decarboxylation,0.00,0.00
decline,0.00,0.00
decay,0.00,0.38
radioactive_decay,0.00,0.00
decentralization,0.00,0.00
diminution,0.00,0.00
decoction,0.00,0.00
decoction_process,0.00,0.00
rotting,0.00,0.00
decomposition_reaction,0.00,0.00
decrement,0.00,0.00
dedifferentiation,0.00,0.00
deepening,0.13,0.00
shitting,0.00,0.13
defense_reaction,0.00,0.00
deflation,0.00,0.00
defoliation,0.00,0.00
degaussing,0.00,0.00
devolution,0.50,0.13
evaporation,0.00,0.00
de-iodination,0.00,0.00
demagnetization,0.00,0.00
demand,0.00,0.00
demand-pull_inflation,0.00,0.00
demineralization,0.00,0.00
denazification,0.00,0.00
denial,0.00,0.38
deossification,0.00,0.13
deposition,0.00,0.00
derivation,0.00,0.00
eponymy,0.00,0.00
desalinization,0.00,0.00
desertification,0.00,0.00
desensitization,0.00,0.00
desorption,0.00,0.00
destalinization,0.00,0.00
destructive_distillation,0.00,0.00
worsening,0.00,0.13
detumescence,0.00,0.13
development,0.00,0.00
evolution,0.00,0.00
diakinesis,0.00,0.00
diastrophism,0.00,0.00
diffusion,0.00,0.00
digestion,0.00,0.00
digestion,0.00,0.00
digital_photography,0.00,0.00
ruin,0.00,0.00
diplotene,0.00,0.00
expelling,0.00,0.00
disinflation,0.00,0.00
displacement,0.00,0.00
displacement_reaction,0.00,0.00
dissimilation,0.00,0.13
dissociation,0.00,0.00
dissolution,0.00,0.00
dissolving,0.00,0.00
distillment,0.00,0.00
teleprocessing,0.00,0.00
dithering,0.00,0.00
domestication,0.00,0.00
metathesis,0.00,0.00
double_replacement_reaction,0.00,0.00
doubling,0.00,0.00
drift,0.00,0.00
drift,0.00,0.00
dry_plate_process,0.00,0.00
melioration,0.00,0.00
dyadic_operation,0.00,0.00
wane,0.00,0.00
eburnation,0.00,0.00
ecchymosis,0.00,0.00
economic_growth,0.00,0.00
economic_process,0.00,0.00
effacement,0.00,0.00
effervescence,0.00,0.00
ejaculation,0.00,0.00
electrodeposition,0.00,0.00
electrolysis,0.00,0.00
electronic_data_processing,0.00,0.38
ionophoresis,0.00,0.00
electrostatic_precipitation,0.00,0.00
voiding,0.00,0.00
elimination_reaction,0.00,0.00
elision,0.00,0.00
ellipsis,0.00,0.00
elution,0.00,0.00
emergent_evolution,0.00,0.00
emission,0.00,0.00
encapsulation,0.00,0.00
endoergic_reaction,0.00,0.00
endothermic_reaction,0.00,0.00
urinary_incontinence,0.00,0.75
epigenesis,0.00,0.00
epilation,0.00,0.00
epitaxy,0.00,0.00
wearing_away,0.00,0.00
erosion,0.00,0.00
erythropoiesis,0.00,0.00
establishment,0.00,0.00
europeanization,0.00,0.00
eutrophication,0.13,0.38
phylogeny,0.00,0.00
instruction_execution,0.00,0.00
exoergic_reaction,0.00,0.00
exothermic_reaction,0.00,0.00
expectoration,0.00,0.00
exponential_return,0.00,0.00
expression,0.00,0.00
extinction,0.00,0.00
extraction,0.00,0.00
extravasation,0.00,0.00
farrowing,0.00,0.00
fat_metabolism,0.00,0.00
feedback,0.00,0.00
feminization,0.00,0.00
suppuration,0.00,0.00
fibrinolysis,0.00,0.00
field_emission,0.00,0.00
filling,0.00,0.00
filtration,0.00,0.00
flaming,0.00,0.00
nuclear_fission,0.00,0.00
fission,0.00,0.00
fissiparity,0.00,0.00
fixed-cycle_operation,0.00,0.00
flare,0.00,0.00
flop,0.00,0.00
flocculation,0.00,0.00
flow,0.00,0.00
flowage,0.00,0.00
focalization,0.00,0.00
folding,0.00,0.00
foliation,0.00,0.00
leafing,0.00,0.00
foregrounding,0.00,0.00
formation,0.00,0.00
fossilization,0.00,0.00
fractional_distillation,0.00,0.00
fractionation,0.00,0.00
fragmentation,0.00,0.00
freezing,0.00,0.00
lyophilization,0.00,0.00
icing,0.00,0.00
fructification,0.00,0.00
nuclear_fusion_reaction,0.00,0.00
fusion,0.00,0.00
galactosis,0.00,0.00
galvanization,0.00,0.00
gametogenesis,0.00,0.00
gasification,0.00,0.00
gassing,0.00,0.00
gastric_digestion,0.00,0.00
gastrulation,0.00,0.00
geological_process,0.00,0.00
sprouting,0.00,0.00
glaciation,0.00,0.00
riss_glaciation,0.00,0.00
saale_glaciation,0.00,0.00
wolstonian_glaciation,0.00,0.00
globalization,0.00,0.00
global_warming,0.00,0.00
glycogenesis,0.00,0.00
glycolysis,0.00,0.00
growing,0.00,0.00
ontogeny,0.00,0.00
growth,0.00,0.00
gynogenesis,0.00,0.00
haber_process,0.00,0.00
habit,0.00,0.00
solidifying,0.00,0.13
hatching,0.00,0.00
healing,0.00,0.00
heat_dissipation,0.00,0.00
warming,0.00,0.00
hemagglutination,0.00,0.00
hematochezia,0.00,0.00
sanguification,0.00,0.00
hemimetamorphosis,0.25,0.38
heterometaboly,0.50,0.00
hemolysis,0.00,0.00
heredity,0.00,0.00
heterospory,0.00,0.00
holometaboly,0.50,0.00
homospory,0.00,0.00
human_process,0.00,0.00
humification,0.00,0.00
hydration,0.00,0.00
hydrocracking,0.00,0.00
hydrogenation,0.00,0.00
hydrolysis,0.00,0.00
polyhidrosis,0.00,0.50
hypersecretion,0.00,0.50
hypostasis,0.00,0.00
hypostasis,0.00,0.00
idealization,0.50,0.00
ignition,0.00,0.00
imbibition,0.00,0.00
immunoelectrophoresis,0.00,0.00
nidation,0.00,0.00
saturation,0.00,0.00
inactivation,0.00,0.00
incontinency,0.00,0.13
increment,0.00,0.00
incrustation,0.00,0.00
induction_heating,0.00,0.00
industrial_process,0.00,0.00
indweller,0.25,0.00
infection,0.13,0.00
infection,0.00,0.00
rising_prices,0.00,0.00
deflation,0.00,0.00
inflationary_spiral,0.00,0.00
deflationary_spiral,0.00,0.00
influx,0.00,0.00
infructescence,0.00,0.00
infusion,0.00,0.00
inhibition,0.00,0.00
inrush,0.00,0.00
inspissation,0.00,0.00
insufflation,0.00,0.00
integrated_data_processing,0.00,0.00
intellectualization,0.00,0.00
internal_combustion,0.00,0.00
intrusion,0.00,0.00
swelling,0.00,0.00
intussusception,0.00,0.00
invagination,0.00,0.00
inversion,0.00,0.00
involution,0.00,0.00
iodination,0.00,0.00
ion_exchange,0.00,0.00
ionization,0.00,0.00
irreversible_process,0.13,0.13
isoagglutination,0.00,0.00
isogamy,0.00,0.00
isolation,0.00,0.00
looping,0.00,0.00
loop,0.00,0.00
juvenescence,0.00,0.00
cytokinesis,0.00,0.00
karyokinesis,0.00,0.00
karyolysis,0.00,0.00
katamorphism,0.00,0.00
keratinization,0.00,0.00
tricarboxylic_acid_cycle,0.00,0.00
watering,0.00,0.00
lactation,0.00,0.00
lamaze_method_of_childbirth,0.00,0.00
laying,0.00,0.00
leaching,0.00,0.00
wetting,0.00,0.00
leboyer_method_of_childbirth,0.00,0.00
leeway,0.00,0.00
leptotene,0.00,0.00
lexicalization,0.00,0.00
libration,0.00,0.00
life_cycle,0.00,0.00
light_reaction,0.00,0.00
line_feed,0.00,0.00
linguistic_process,0.00,0.00
liquefaction,0.00,0.00
list_processing,0.00,0.00
lithuresis,0.00,0.00
logical_operation,0.00,0.00
loss,0.00,0.00
lymphopoiesis,0.00,0.00
lysis,0.00,0.00
lysis,0.63,0.13
lysogenization,0.00,0.00
maceration,0.00,0.00
macroevolution,0.00,0.00
magnetization,0.00,0.00
majority_operation,0.00,0.00
malabsorption,0.00,0.00
marginalization,0.00,0.00
market_forces,0.00,0.00
markov_chain,0.00,0.00
markov_process,0.00,0.00
virilization,0.00,0.00
materialization,0.00,0.00
ripening,0.00,0.00
mechanism,0.00,0.00
reduction_division,0.00,0.00
mellowing,0.00,0.00
nuclear_meltdown,0.00,0.25
menorrhagia,0.00,0.00
period,0.00,0.00
metabolism,0.00,0.00
metamorphism,0.00,0.00
metamorphosis,0.25,0.13
metaphase,0.00,0.00
metaphase,0.00,0.00
metastasis,0.00,0.00
metathesis,0.00,0.00
microevolution,0.00,0.00
microphoning,0.00,0.00
urination,0.00,0.00
mould,0.00,0.00
ore_processing,0.25,0.00
mitosis,0.00,0.00
moulting,0.00,0.00
unary_operation,0.00,0.00
sporulation,0.00,0.00
morphallaxis,0.00,0.00
morphogenesis,0.00,0.00
multiplex_operation,0.00,0.00
multiplication,0.00,0.00
parallel_processing,0.00,0.00
multiprogramming,0.00,0.00
myelinization,0.00,0.00
narrowing,0.00,0.00
natural_childbirth,0.00,0.00
natural_process,0.00,0.13
nazification,0.00,0.00
necrolysis,0.00,0.13
negative_feedback,0.00,0.00
neoplasia,0.00,0.00
neurogenesis,0.00,0.00
neutralization_reaction,0.00,0.00
new_line,0.00,0.00
nitrification,0.00,0.00
nitrification,0.00,0.00
nitrogen_cycle,0.00,0.00
nitrogen_fixation,0.00,0.00
nycturia,0.00,0.00
nocturnal_emission,0.00,0.00
nondevelopment,0.00,0.25
nondisjunction,0.00,0.00
nosedive,0.00,0.00
nuclear_reaction,0.00,0.00
nucleosynthesis,0.00,0.00
nutrition,0.00,0.00
obsolescence,0.00,0.00
oligomenorrhea,0.00,0.00
oliguria,0.00,0.13
omission,0.00,0.00
oogenesis,0.00,0.00
opacification,0.00,0.00
open-hearth_process,0.00,0.00
operation,0.00,0.00
performance,0.00,0.00
opsonization,0.00,0.00
organic_process,0.00,0.00
organification,0.00,0.00
orogeny,0.00,0.00
oscillation,0.00,0.00
osmosis,0.00,0.00
reverse_osmosis,0.00,0.00
ossification,0.00,0.00
ossification,0.00,0.00
ossification,0.00,0.00
osteolysis,0.00,0.63
outflow,0.00,0.00
overactivity,0.00,0.13
overcompensation,0.00,0.25
overflow_incontinence,0.00,0.25
overheating,0.00,0.50
ovulation,0.00,0.00
oxidization,0.00,0.00
redox,0.00,0.00
oxidative_phosphorylation,0.00,0.00
oxygenation,0.00,0.00
pachytene,0.00,0.00
pair_production,0.00,0.00
recapitulation,0.00,0.00
paper_chromatography,0.00,0.00
paper_electrophoresis,0.00,0.00
simultaneous_operation,0.00,0.00
parthenocarpy,0.00,0.38
parthenogeny,0.00,0.00
virgin_birth,0.13,0.13
parturition,0.00,0.00
passive_transport,0.00,0.00
pathogenesis,0.38,0.00
pathological_process,0.00,0.00
peace_process,0.00,0.00
pissing,0.00,0.13
peptization,0.00,0.00
percolation,0.00,0.00
perennation,0.00,0.00
vermiculation,0.00,0.00
suffusion,0.00,0.00
sweating,0.00,0.00
petrification,0.00,0.00
phagocytosis,0.00,0.00
state_change,0.00,0.00
phase_of_cell_division,0.00,0.00
photochemical_reaction,0.00,0.00
photoelectric_emission,0.00,0.00
photography,0.00,0.00
photoplate_making,0.00,0.00
photosynthesis,0.00,0.00
pigmentation,0.00,0.00
pinocytosis,0.00,0.00
roughness,0.00,0.00
placentation,0.00,0.00
planation,0.00,0.00
plastination,0.00,0.00
polymerization,0.00,0.00
population_growth,0.00,0.00
irruption,0.00,0.13
regeneration,0.00,0.00
potentiation,0.00,0.00
powder_technique,0.00,0.00
precession_of_the_equinoxes,0.00,0.00
prechlorination,0.00,0.00
precipitation,0.00,0.00
precocious_dentition,0.00,0.25
premature_ejaculation,0.25,0.00
preservation,0.00,0.13
printing_operation,0.00,0.00
priority_processing,0.00,0.00
processing,0.25,0.00
professionalization,0.00,0.00
projection,0.00,0.00
proliferation,0.00,0.00
proliferation,0.00,0.00
prophase,0.00,0.00
prophase,0.00,0.00
proteolysis,0.00,0.00
psilosis,0.00,0.00
psychoanalytic_process,0.00,0.00
psychogenesis,0.38,0.00
psychogenesis,0.38,0.00
psychomotor_development,0.13,0.00
psychosexual_development,0.00,0.00
ptyalism,0.00,0.13
pullulation,0.00,0.13
pullulation,0.00,0.00
pyrochemistry,0.13,0.00
quadrupling,0.00,0.00
quellung_reaction,0.00,0.00
quickening,0.25,0.00
quintupling,0.00,0.00
radiant_heating,0.00,0.00
radioactivity,0.00,0.00
skiagraphy,0.00,0.00
radiolysis,0.00,0.13
rain-wash,0.00,0.00
rally,0.25,0.50
random_walk,0.00,0.00
rationalization,0.13,0.00
reaction_formation,0.00,0.00
read_method_of_childbirth,0.00,0.13
real-time_processing,0.00,0.00
rectification,0.00,0.00
redeposition,0.00,0.00
reducing,0.00,0.00
reduction,0.00,0.00
replenishment,0.00,0.00
refining,0.00,0.00
reflation,0.00,0.00
refrigeration,0.00,0.00
regeneration,0.00,0.00
regression,0.00,0.00
regulation,0.00,0.13
relaxation_behavior,0.00,0.00
relaxation,0.00,0.00
release,0.00,0.00
replication,0.00,0.00
repression,0.00,0.00
reproduction,0.00,0.00
resorption,0.00,0.00
reticulation,0.00,0.00
retrieval,0.00,0.00
stovepiping,0.00,0.00
reuptake,0.00,0.00
reversible_process,0.00,0.00
rigor_mortis,0.00,0.00
ripening,0.13,0.13
rooting,0.00,0.00
rusting,0.00,0.00
salivation,0.00,0.13
saltation,0.00,0.00
saponification,0.00,0.00
scanning,0.00,0.00
scattering,0.00,0.00
schizogony,0.00,0.00
search,0.00,0.00
secondary_emission,0.00,0.00
secretion,0.00,0.00
segregation,0.00,0.00
sensitization,0.00,0.00
sequestration,0.00,0.00
serial_operation,0.00,0.00
serial_processing,0.00,0.00
sericulture,0.00,0.00
sexual_reproduction,0.00,0.00
shaping,0.00,0.00
sloughing,0.00,0.00
shit,0.00,0.13
sink,0.00,0.00
sinking_spell,0.50,0.00
slippage,0.00,0.00
slippage,0.38,0.13
slump,0.38,0.13
smoking,0.00,0.00
soaking,0.00,0.00
social_process,0.00,0.00
softening,0.00,0.00
soil_erosion,0.00,0.00
solvation,0.00,0.00
solvay_process,0.00,0.00
sorption,0.00,0.00
sorting,0.00,0.00
source,0.00,0.00
origin,0.00,0.00
souring,0.00,0.00
spallation,0.00,0.00
specialization,0.00,0.00
speciation,0.00,0.00
spiral,0.00,0.00
spermatogenesis,0.00,0.00
spoiling,0.00,0.00
spontaneous_combustion,0.00,0.00
stagflation,0.00,0.00
stalinization,0.00,0.00
stationary_stochastic_process,0.00,0.00
steel_production,0.00,0.00
stiffening,0.00,0.13
stimulation,0.00,0.00
stochastic_process,0.00,0.00
storage,0.00,0.00
stratification,0.00,0.00
stress_incontinence,0.00,0.00
subduction,0.00,0.00
succession,0.00,0.00
summation,0.00,0.00
superposition,0.00,0.00
supply,0.00,0.00
suppression,0.00,0.00
survival_of_the_fittest,0.00,0.00
symphysis,0.00,0.00
synapsis,0.00,0.00
syncretism,0.00,0.00
synchronous_operation,0.00,0.00
syneresis,0.00,0.00
syneresis,0.00,0.00
synergy,0.00,0.00
synizesis,0.00,0.00
synthesis,0.00,0.00
tanning,0.00,0.00
teething,0.00,0.25
telophase,0.00,0.00
telophase,0.00,0.00
temperature_change,0.00,0.00
teratogenesis,0.00,0.00
thawing,0.00,0.00
thermionic_emission,0.00,0.00
thermocoagulation,0.00,0.00
thermonuclear_reaction,0.00,0.00
threshold_operation,0.00,0.00
thrombolysis,0.00,0.00
top_fermentation,0.00,0.00
transamination,0.00,0.00
transamination,0.00,0.00
transcription,0.00,0.00
transduction,0.00,0.00
transduction,0.00,0.00
translation,0.00,0.00
protein_folding,0.00,0.00
translocation,0.00,0.00
translocation,0.00,0.00
transpiration,0.00,0.00
transpiration,0.00,0.00
transpiration,0.00,0.00
transport,0.00,0.00
tripling,0.00,0.00
tumefaction,0.00,0.00
ulceration,0.00,0.00
ultracentrifugation,0.50,0.00
underdevelopment,0.00,0.50
unfolding,0.00,0.00
union,0.00,0.00
uptake,0.00,0.00
urbanization,0.00,0.00
urge_incontinence,0.00,0.00
urochezia,0.00,0.00
variation,0.00,0.38
vapour,0.00,0.00
vascularization,0.00,0.00
vegetation,0.00,0.00
vesiculation,0.00,0.00
vicious_cycle,0.00,0.38
video_digitizing,0.00,0.00
vinification,0.00,0.00
vitrification,0.00,0.00
vulcanization,0.00,0.00
washout,0.00,0.00
wastage,0.00,0.00
westernization,0.00,0.00
widening,0.00,0.00
word_processing,0.00,0.00
zygotene,0.00,0.00
zymosis,0.25,0.00
zymosis,0.00,0.00
fundamental_quantity,0.00,0.00
definite_quantity,0.00,0.00
indefinite_quantity,0.00,0.25
relative_quantity,0.00,0.38
system_of_measurement,0.00,0.00
system_of_weights_and_measures,0.00,0.00
english_system,0.00,0.00
metric_system,0.00,0.00
cgs_system,0.00,0.00
systeme_international_d'unites,0.00,0.00
united_states_customary_system,0.00,0.00
point_system,0.00,0.00
information_measure,0.00,0.00
bandwidth,0.00,0.00
baud_rate,0.00,0.00
cordage,0.00,0.00
octane_rating,0.00,0.00
utility,0.00,0.00
marginal_utility,0.13,0.00
sufficiency,0.00,0.00
fill,0.00,0.38
normality,0.00,0.00
majority,0.00,0.00
relative_majority,0.00,0.00
numerical_value,0.00,0.00
acid_value,0.13,0.00
chlorinity,0.00,0.00
number,0.00,0.00
quire,0.00,0.00
ream,0.00,0.00
solubility,0.00,0.00
toxicity,0.00,0.25
cytotoxicity,0.00,0.00
unit_of_measurement,0.00,0.00
measuring_unit,0.00,0.00
denier,0.00,0.00
dioptre,0.00,0.00
kt,0.00,0.00
decimal,0.00,0.00
constant,0.00,0.00
avogadro_number,0.00,0.00
boltzmann's_constant,0.00,0.00
coefficient,0.00,0.00
coefficient_of_absorption,0.00,0.00
drag_coefficient,0.00,0.00
coefficient_of_friction,0.00,0.00
mutual_inductance,0.00,0.00
self-inductance,0.00,0.00
modulus,0.00,0.00
modulus_of_elasticity,0.00,0.00
bulk_modulus,0.00,0.00
modulus_of_rigidity,0.00,0.13
young's_modulus,0.00,0.00
expansivity,0.00,0.00
reflectivity,0.00,0.00
transmittance,0.00,0.00
dynamic_viscosity,0.00,0.00
weighting,0.00,0.00
cosmological_constant,0.00,0.00
equilibrium_constant,0.00,0.00
dissociation_constant,0.00,0.00
universal_gas_constant,0.00,0.00
universal_gravitational_constant,0.00,0.00
hubble_parameter,0.00,0.00
ionic_charge,0.00,0.00
planck's_constant,0.00,0.00
oxidation_state,0.00,0.00
cardinality,0.00,0.00
count,0.00,0.00
complement,0.00,0.13
blood_count,0.00,0.00
body_count,0.00,0.00
circulation,0.00,0.00
circulation,0.00,0.00
headcount,0.00,0.00
pollen_count,0.00,0.00
sperm_count,0.00,0.00
factor,0.00,0.00
conversion_factor,0.00,0.00
factor_of_proportionality,0.00,0.00
fibonacci_number,0.00,0.00
prime_quantity,0.00,0.00
prime_factor,0.00,0.00
prime_number,0.00,0.25
composite_number,0.00,0.63
score,0.00,0.00
stroke,0.00,0.00
birdie,0.00,0.00
bogey,0.00,0.00
deficit,0.00,0.00
double-bogey,0.00,0.00
duck's_egg,0.00,0.00
eagle,0.00,0.00
double_eagle,0.00,0.00
game,0.00,0.00
lead,0.13,0.00
love,0.00,0.00
match,0.13,0.00
par,0.00,0.00
record,0.00,0.00
compound_number,0.00,0.13
ordinal_number,0.00,0.00
number_one,0.00,0.00
cardinal_number,0.00,0.00
radix,0.00,0.00
floating-point_number,0.00,0.00
fixed-point_number,0.00,0.00
frequency,0.00,0.00
googol,0.00,0.00
googolplex,0.00,0.00
atomic_number,0.00,0.00
magic_number,0.00,0.00
baryon_number,0.00,0.00
quota,0.00,0.00
long_measure,0.00,0.00
magnetization,0.00,0.00
magnetic_flux,0.00,0.00
absorption_unit,0.00,0.00
acceleration_unit,0.00,0.00
angular_unit,0.00,0.00
square_measure,0.00,0.00
volume_unit,0.00,0.00
cubic_inch,0.00,0.00
cubic_foot,0.00,0.00
computer_memory_unit,0.00,0.00
cord,0.00,0.13
emu,0.00,0.00
explosive_unit,0.00,0.00
force_unit,0.00,0.25
linear_unit,0.00,0.00
metric_unit,0.00,0.00
miles_per_gallon,0.00,0.00
monetary_unit,0.00,0.00
million_floating_point_operations_per_second,0.00,0.00
trillion_floating_point_operations_per_second,0.00,0.00
mips,0.00,0.00
pain_unit,0.00,0.25
pressure_unit,0.00,0.00
printing_unit,0.00,0.00
sound_unit,0.00,0.00
telephone_unit,0.00,0.00
temperature_unit,0.00,0.00
